experiment_name,config_name,feature_variant,used_feature_count,scale_pos_weight,val_precision_default,val_recall_default,val_f1_default,val_precision_tuned,val_recall_tuned,val_f1_tuned,val_roc_auc,val_average_precision,best_threshold,selection_score
baseline_like__numeric_ratio_textfreq,baseline_like,numeric_ratio_textfreq,50,3.505738880918221,0.9030470914127424,0.9340974212034384,0.9183098591549296,0.9523809523809523,0.9169054441260746,0.9343065693430657,0.9894320457327225,0.9765469087572162,0.69,0.9401113270558997
baseline_like__numeric_ratio,baseline_like,numeric_ratio,48,3.505738880918221,0.9033149171270718,0.9369627507163324,0.919831223628692,0.9387755102040817,0.9226361031518625,0.930635838150289,0.9885152340800698,0.9742474451508133,0.63,0.9398117968367172
recall_focus__numeric_ratio_textfreq,recall_focus,numeric_ratio_textfreq,50,4.206886657101865,0.9310344827586207,0.9283667621776505,0.9296987087517934,0.9636363636363636,0.9111747851002865,0.9366715758468336,0.989085017281079,0.9774793249182745,0.69,0.9395052269097185
shallow_regularized__numeric_ratio_textfreq,shallow_regularized,numeric_ratio_textfreq,50,3.505738880918221,0.8913043478260869,0.9398280802292264,0.9149232914923291,0.936046511627907,0.9226361031518625,0.9292929292929293,0.9885199236537406,0.9751384175074906,0.67,0.9391412803227716
precision_balance__numeric_ratio_textfreq,precision_balance,numeric_ratio_textfreq,50,3.155164992826399,0.8967391304347826,0.9455587392550143,0.9205020920502092,0.9413489736070382,0.9197707736389685,0.9304347826086956,0.9881353786127303,0.9749105112901467,0.65,0.9387756991185845
recall_focus__numeric_base,recall_focus,numeric_base,38,4.206886657101865,0.9178470254957507,0.9283667621776505,0.9230769230769231,0.9578313253012049,0.9111747851002865,0.933920704845815,0.9897720398238598,0.977513380827504,0.69,0.9382671959177653
precision_balance__numeric_ratio,precision_balance,numeric_ratio,48,3.155164992826399,0.8931506849315068,0.9340974212034384,0.9131652661064426,0.9129213483146067,0.9312320916905444,0.9219858156028369,0.987849314618808,0.9727832403060097,0.56,0.9379323982323433
wide_sampling__numeric_ratio_textfreq,wide_sampling,numeric_ratio_textfreq,50,3.505738880918221,0.9152542372881356,0.9283667621776505,0.9217638691322901,0.9693251533742331,0.9054441260744985,0.9362962962962963,0.9895070789114562,0.9771677459423321,0.76,0.937682801752789
strong_regularization__numeric_ratio_textfreq,strong_regularization,numeric_ratio_textfreq,50,3.8563127690100436,0.9033149171270718,0.9369627507163324,0.919831223628692,0.9494047619047619,0.9140401146131805,0.9313868613138686,0.9887168857479167,0.9757601261330384,0.73,0.9376488421904718
precision_balance__numeric_textfreq,precision_balance,numeric_textfreq,40,3.155164992826399,0.8915989159891599,0.9426934097421203,0.9164345403899722,0.9411764705882353,0.9169054441260746,0.9288824383164006,0.9892890137357613,0.9755376784871895,0.68,0.9373706551431749
baseline_like__numeric_base,baseline_like,numeric_base,38,3.505738880918221,0.8967391304347826,0.9455587392550143,0.9205020920502092,0.9663608562691132,0.9054441260744985,0.9349112426035503,0.9893312198987991,0.9761759138275803,0.7,0.9369551031038845
low_lr_longer__numeric_ratio,low_lr_longer,numeric_ratio,48,3.505738880918221,0.9080779944289693,0.9340974212034384,0.9209039548022598,0.9663608562691132,0.9054441260744985,0.9349112426035503,0.9892843241620904,0.9758031740176306,0.75,0.9369457239565429
strong_regularization__numeric_base,strong_regularization,numeric_base,38,3.8563127690100436,0.8826666666666667,0.9484240687679083,0.914364640883978,0.9520958083832335,0.9111747851002865,0.931185944363104,0.9896477661215819,0.976123931028055,0.69,0.9368749609359543
shallow_regularized__numeric_ratio,shallow_regularized,numeric_ratio,48,3.505738880918221,0.8888888888888888,0.9398280802292264,0.9136490250696379,0.9331395348837209,0.9197707736389685,0.9264069264069265,0.9881259994653887,0.9734839161866096,0.64,0.9367598951882317
low_lr_longer__numeric_ratio_textfreq,low_lr_longer,numeric_ratio_textfreq,50,3.505738880918221,0.9103641456582633,0.9312320916905444,0.9206798866855525,0.9722222222222222,0.9025787965616046,0.9361069836552749,0.9896290078268984,0.9772852797175822,0.77,0.9367529323614985
recall_focus__numeric_ratio,recall_focus,numeric_ratio,48,4.206886657101865,0.9252873563218391,0.9226361031518625,0.9239598278335724,0.9692307692307692,0.9025787965616046,0.9347181008902077,0.9895891464506962,0.9768459434307908,0.74,0.9360505187037244
deeper_more_trees__numeric_ratio,deeper_more_trees,numeric_ratio,48,3.505738880918221,0.9255014326647565,0.9255014326647565,0.9255014326647565,0.9692307692307692,0.9025787965616046,0.9347181008902077,0.9893452886198115,0.9759841361912271,0.72,0.9360017471375475
shallow_regularized__numeric_base,shallow_regularized,numeric_base,38,3.505738880918221,0.88,0.9455587392550143,0.9116022099447514,0.9519519519519519,0.9083094555873925,0.9296187683284457,0.9888997791210803,0.9745731824673038,0.71,0.9350821766646567
low_lr_longer__numeric_base,low_lr_longer,numeric_base,38,3.505738880918221,0.8986301369863013,0.9398280802292264,0.9187675070028011,0.963302752293578,0.9025787965616046,0.9319526627218935,0.9902081701752494,0.9772248500559406,0.75,0.934791604364478
wide_sampling__numeric_ratio,wide_sampling,numeric_ratio,48,3.505738880918221,0.9055555555555556,0.9340974212034384,0.919605077574048,0.9690402476780186,0.8968481375358166,0.9315476190476191,0.9893640469144951,0.9768178680941998,0.77,0.9327010601674535
strong_regularization__numeric_ratio,strong_regularization,numeric_ratio,48,3.8563127690100436,0.9083333333333333,0.9369627507163324,0.922425952045134,0.968944099378882,0.8939828080229226,0.9299552906110283,0.988510544506399,0.9746974275475818,0.8,0.9308745966136708
precision_balance__numeric_base,precision_balance,numeric_base,38,3.155164992826399,0.8793565683646113,0.9398280802292264,0.9085872576177285,0.9598765432098766,0.8911174785100286,0.924219910846954,0.9886019911929808,0.9735489892830643,0.76,0.9271655972150818
